unit_id,speed,date
7918,859534.597826086957,2018-09-24 00:00:00
7924,24155817.538461538462,2018-06-25 00:00:00
7924,22544677.764705882353,2018-07-02 00:00:00
7924,19406373.170212765957,2018-07-09 00:00:00
7924,20183823.255319148936,2018-07-16 00:00:00
7924,19573189.626262626263,2018-07-23 00:00:00
7924,21043413.453488372093,2018-07-30 00:00:00
7924,24012650.086021505376,2018-08-06 00:00:00
7924,23709620.032967032967,2018-08-13 00:00:00
7924,23501974.593023255814,2018-08-20 00:00:00
7924,22910060.316326530612,2018-08-27 00:00:00
7924,23341842.680412371134,2018-09-03 00:00:00
7924,23408706.344086021505,2018-09-10 00:00:00
7924,21656638.293478260870,2018-09-17 00:00:00
7924,20929167.976190476190,2018-09-24 00:00:00
7937,7109725.000000000000,2018-06-25 00:00:00
7937,7094338.594594594595,2018-07-02 00:00:00
7937,7080086.148148148148,2018-07-09 00:00:00
7937,7103108.333333333333,2018-07-16 00:00:00
7937,7094886.333333333333,2018-07-23 00:00:00
7937,6480767.694736842105,2018-07-30 00:00:00
7937,6714985.274725274725,2018-08-06 00:00:00
7937,7102011.975609756098,2018-08-13 00:00:00
7937,7003647.525641025641,2018-08-20 00:00:00
7937,6758607.188235294118,2018-08-27 00:00:00
7937,6876419.352941176471,2018-09-03 00:00:00
7937,6888829.037037037037,2018-09-10 00:00:00
7937,7099737.092105263158,2018-09-17 00:00:00
7937,7071749.148148148148,2018-09-24 00:00:00
7938,8139062.166666666667,2018-06-25 00:00:00
7938,8506918.125000000000,2018-07-02 00:00:00
7938,8542848.058823529412,2018-07-09 00:00:00
7938,8530734.407407407407,2018-07-16 00:00:00
7938,8505502.925925925926,2018-07-23 00:00:00
7938,4233925.602739726027,2018-07-30 00:00:00
7938,9744302.600000000000,2018-08-06 00:00:00
7938,14410539.717948717949,2018-08-13 00:00:00
7938,14199412.795454545455,2018-08-20 00:00:00
7938,13792013.000000000000,2018-08-27 00:00:00
7938,14432672.883720930233,2018-09-03 00:00:00
7938,14298750.411111111111,2018-09-10 00:00:00
7938,14433811.345238095238,2018-09-17 00:00:00
7938,10988061.333333333333,2018-09-24 00:00:00
7940,4583350.800000000000,2018-06-25 00:00:00
7940,4578676.148514851485,2018-07-02 00:00:00
7940,4567173.692307692308,2018-07-09 00:00:00
7940,4573933.619565217391,2018-07-16 00:00:00
7940,4570738.980000000000,2018-07-23 00:00:00
7940,4572499.090000000000,2018-07-30 00:00:00
7940,4565289.461538461538,2018-08-06 00:00:00
7940,4549261.627450980392,2018-08-13 00:00:00
7940,4539669.737864077670,2018-08-20 00:00:00
7940,4547876.030000000000,2018-08-27 00:00:00
7940,4547924.827956989247,2018-09-03 00:00:00
7940,4550832.900000000000,2018-09-10 00:00:00
7940,4539923.361904761905,2018-09-17 00:00:00
7940,4567845.252631578947,2018-09-24 00:00:00
7942,1304827.800000000000,2018-06-25 00:00:00
7942,972806.000000000000,2018-07-02 00:00:00
7942,1085826.082352941176,2018-07-09 00:00:00
7942,1414542.483146067416,2018-07-16 00:00:00
7942,1401797.747368421053,2018-07-23 00:00:00
7942,1273355.879120879121,2018-07-30 00:00:00
7942,1288680.835164835165,2018-08-06 00:00:00
7942,1362331.471264367816,2018-08-13 00:00:00
7942,1526681.671641791045,2018-08-20 00:00:00
7942,1495346.191011235955,2018-08-27 00:00:00
7942,1308767.897727272727,2018-09-03 00:00:00
7942,1042082.679012345679,2018-09-10 00:00:00
7942,1300892.977777777778,2018-09-17 00:00:00
7942,2556632.707317073171,2018-09-24 00:00:00
7948,13006802.214285714286,2018-06-25 00:00:00
7948,13232535.816091954023,2018-07-02 00:00:00
7948,12550498.312500000000,2018-07-09 00:00:00
7948,12685124.875000000000,2018-07-16 00:00:00
7948,12772386.537500000000,2018-07-23 00:00:00
7948,13081504.580246913580,2018-07-30 00:00:00
7948,13049172.962962962963,2018-08-06 00:00:00
7948,12516278.566265060241,2018-08-13 00:00:00
7948,12338286.192771084337,2018-08-20 00:00:00
7948,11740646.156626506024,2018-08-27 00:00:00
7948,11908009.975609756098,2018-09-03 00:00:00
7948,12151393.246913580247,2018-09-10 00:00:00
7948,11703538.166666666667,2018-09-17 00:00:00
7948,12436142.682926829268,2018-09-24 00:00:00
7978,25105385.461538461538,2018-06-25 00:00:00
7978,24970374.305882352941,2018-07-02 00:00:00
7978,23702707.111111111111,2018-07-09 00:00:00
7978,24689043.237500000000,2018-07-16 00:00:00
7978,25061055.895348837209,2018-07-23 00:00:00
7978,25021542.643835616438,2018-07-30 00:00:00
7978,20726961.267605633803,2018-08-06 00:00:00
7978,22904106.754385964912,2018-08-13 00:00:00
7978,25543933.694915254237,2018-08-20 00:00:00
7978,23935349.421875000000,2018-08-27 00:00:00
7978,24592619.660714285714,2018-09-03 00:00:00
7978,25187074.818181818182,2018-09-10 00:00:00
7978,24947530.629629629630,2018-09-17 00:00:00
7978,24636945.318181818182,2018-09-24 00:00:00
7991,8090237.222222222222,2018-06-25 00:00:00
7991,7628796.864406779661,2018-07-02 00:00:00
7991,7957152.142857142857,2018-07-09 00:00:00
7991,7957305.677419354839,2018-07-16 00:00:00
7991,7574869.675675675676,2018-07-23 00:00:00
7991,7699500.974683544304,2018-07-30 00:00:00
7991,7612125.989130434783,2018-08-06 00:00:00
7991,7799483.592592592593,2018-08-13 00:00:00
7991,7645439.802325581395,2018-08-20 00:00:00
7991,7755135.283950617284,2018-08-27 00:00:00
7991,7718028.024691358025,2018-09-03 00:00:00
7991,11204441.845238095238,2018-09-10 00:00:00
7991,13386839.047058823529,2018-09-17 00:00:00
7991,13306542.511111111111,2018-09-24 00:00:00
7994,2773882.200000000000,2018-06-25 00:00:00
7994,2762020.377777777778,2018-07-02 00:00:00
7994,2756540.645569620253,2018-07-09 00:00:00
7994,2846822.166666666667,2018-07-16 00:00:00
7994,2906058.819444444444,2018-07-23 00:00:00
7994,2893915.500000000000,2018-07-30 00:00:00
7994,2901884.831325301205,2018-08-06 00:00:00
7994,2821260.558139534884,2018-08-13 00:00:00
