unit_id,speed,date
463,12393762.377659574468,2018-08-01 00:00:00
463,14021880.824797843666,2018-09-01 00:00:00
464,2780918.917582417582,2018-07-01 00:00:00
464,2778308.641943734015,2018-08-01 00:00:00
464,2783391.686684073107,2018-09-01 00:00:00
475,12866802.622395833333,2018-07-01 00:00:00
475,13170313.692753623188,2018-08-01 00:00:00
475,13186268.606779661017,2018-09-01 00:00:00
477,7053517.346511627907,2018-07-01 00:00:00
477,6969507.553444180523,2018-08-01 00:00:00
477,6959196.352040816327,2018-09-01 00:00:00
482,3095647.599496221662,2018-07-01 00:00:00
482,3086147.337696335079,2018-08-01 00:00:00
482,2984927.997319034853,2018-09-01 00:00:00
494,7632816.726190476190,2018-07-01 00:00:00
494,7623519.577358490566,2018-08-01 00:00:00
494,7571656.139097744361,2018-09-01 00:00:00
507,1120090.105263157895,2018-07-01 00:00:00
507,1200876.858310626703,2018-08-01 00:00:00
507,1099326.929577464789,2018-09-01 00:00:00
509,12536822.313725490196,2018-07-01 00:00:00
509,12731716.206896551724,2018-08-01 00:00:00
509,12369043.510000000000,2018-09-01 00:00:00
517,14103607.639730639731,2018-07-01 00:00:00
517,13919261.044887780549,2018-08-01 00:00:00
517,13747736.929503916449,2018-09-01 00:00:00
519,14463024.488372093023,2018-07-01 00:00:00
519,14417177.727034120735,2018-08-01 00:00:00
519,14303642.984693877551,2018-09-01 00:00:00
521,12761681.182456140351,2018-07-01 00:00:00
521,12294205.523573200993,2018-08-01 00:00:00
521,11918903.415472779370,2018-09-01 00:00:00
522,3722252.241877256318,2018-07-01 00:00:00
522,3689593.065384615385,2018-08-01 00:00:00
522,3691288.034246575342,2018-09-01 00:00:00
525,13634889.724137931034,2018-07-01 00:00:00
525,12395153.656612529002,2018-08-01 00:00:00
525,12733766.859340659341,2018-09-01 00:00:00
528,1459856.140259740260,2018-07-01 00:00:00
528,1629479.596577017115,2018-08-01 00:00:00
528,1645140.433789954338,2018-09-01 00:00:00
534,7743791.470046082949,2018-07-01 00:00:00
534,8203954.944444444444,2018-08-01 00:00:00
534,8433107.308641975309,2018-09-01 00:00:00
537,4591373.067251461988,2018-07-01 00:00:00
537,4604882.850299401198,2018-08-01 00:00:00
537,4599947.658079625293,2018-09-01 00:00:00
548,10800602.103797468354,2018-07-01 00:00:00
548,11258708.724137931034,2018-08-01 00:00:00
548,11322859.712737127371,2018-09-01 00:00:00
549,8210084.212903225806,2018-07-01 00:00:00
549,11843668.625000000000,2018-08-01 00:00:00
549,13178853.624324324324,2018-09-01 00:00:00
559,11562576.601604278075,2018-07-01 00:00:00
559,11573961.761306532663,2018-08-01 00:00:00
559,11626613.542682926829,2018-09-01 00:00:00
562,1455609.243016759777,2018-07-01 00:00:00
562,1420453.715116279070,2018-08-01 00:00:00
562,1401995.574780058651,2018-09-01 00:00:00
563,1666928.500000000000,2018-07-01 00:00:00
563,1594826.723118279570,2018-08-01 00:00:00
563,1596714.761904761905,2018-09-01 00:00:00
566,8759321.048128342246,2018-07-01 00:00:00
566,8861259.306233062331,2018-08-01 00:00:00
566,8743944.752136752137,2018-09-01 00:00:00
576,10170788.346938775510,2018-07-01 00:00:00
576,9924133.484455958549,2018-08-01 00:00:00
576,10145217.042780748663,2018-09-01 00:00:00
585,3276006.351351351351,2018-07-01 00:00:00
590,1499927.487858719647,2018-07-01 00:00:00
590,1484581.089485458613,2018-08-01 00:00:00
590,1503619.787234042553,2018-09-01 00:00:00
595,14104893.512755102041,2018-07-01 00:00:00
595,13504078.400568181818,2018-08-01 00:00:00
595,13597019.197368421053,2018-09-01 00:00:00
599,2019999.472602739726,2018-07-01 00:00:00
599,1884366.760439560440,2018-08-01 00:00:00
599,1553401.507936507937,2018-09-01 00:00:00
602,140272.754666666667,2018-07-01 00:00:00
602,138226.181818181818,2018-08-01 00:00:00
602,137304.160563380282,2018-09-01 00:00:00
605,2093990.066666666667,2018-07-01 00:00:00
605,2108439.724137931034,2018-08-01 00:00:00
605,2113642.172413793103,2018-09-01 00:00:00
607,13758446.945454545455,2018-07-01 00:00:00
607,5289194.187500000000,2018-08-01 00:00:00
607,3650791.507204610951,2018-09-01 00:00:00
622,12439878.896313364055,2018-07-01 00:00:00
622,12475541.210045662100,2018-08-01 00:00:00
622,12424570.528571428571,2018-09-01 00:00:00
623,5715855.171052631579,2018-07-01 00:00:00
